OTU,92.AVd_170,89.AVd_166,90.AVd_167,93.AVd_292,94.AVd_296,95.AVd_298,118.AVd_290
OTU_24,3.051800294,0.720409192,1.102700682,0.666709819,0.068487939,0.15478545,9.11723587
OTU_30,1.345201446,0.612347814,0.532660499,0.692601463,0.88273343,0.481554734,0.049930098
OTU_38,0.495248293,0.986960594,0.504625736,0.627872354,0.091317251,0.15478545,2.666267226
OTU_115,0.588943916,0.778041928,1.252219419,0,0.517464424,1.513457735,0.23966447
OTU_187,0.093695623,0.093653195,0.037379684,0.051783287,0.045658626,0.034396767,0
OTU_66,0,0,0,0.757330572,1.468685793,1.143692493,0
OTU_11,0,0,0,0,0,0,0.039944078
OTU_77,0,0,0,0.122985306,0.060878168,0.05159515,0.00998602
OTU_208,0,0,0,0,0,0,0
OTU_70,0,0,0,0,0,0,0.069902137
OTU_100,0,0,0,0,0,0,0
OTU_193,0,0,0,0,0.091317251,0.05159515,0.00998602
OTU_65,0,0,0,0,0,0,0
OTU_62,0,0,0,0,0,0,0
OTU_58,0,0,0.009344921,0.019418733,0.007609771,0,0
OTU_167,0,0,0,3.178199236,0.441366715,0.576145842,0
OTU_159,0,0,0,0,0,0,0
OTU_207,0,0,0,0,0,0,0
OTU_53,0,0,0,0,0.007609771,0,4.603555023
OTU_112,0,0,0,0,0,0,0.00998602
