#OTUId,86.AVd_148,87.AVd_150,89.AVd_166,90.AVd_167,93.AVd_292,94.AVd_296,95.AVd_298,118.AVd_290,Mean_T
OTU_24,1.390123656,0.990916598,0.720409192,1.102700682,0.666709819,0.068487939,0.15478545,9.11723587,1.776421151
OTU_30,0.016164229,0.027525461,0.612347814,0.532660499,0.692601463,0.88273343,0.481554734,0.049930098,0.468479071
OTU_38,0.937525257,0.79823837,0.986960594,0.504625736,0.627872354,0.091317251,0.15478545,2.666267226,0.84594903
OTU_115,0.234381314,0.116983209,0.778041928,1.252219419,0,0.517464424,1.513457735,0.23966447,0.664601786
OTU_187,0,0,0.093653195,0.037379684,0.051783287,0.045658626,0.034396767,0,0.052574312
OTU_66,1.018346399,0.247729149,0,0,0.757330572,1.468685793,1.143692493,0,0.927156881
OTU_11,0.040410571,0,0,0,0,0,0,0.039944078,0.040410571
OTU_77,0.088903257,0.068813653,0,0,0.122985306,0.060878168,0.05159515,0.00998602,0.078635107
OTU_208,0,0,0,0,0,0,0,0,0
OTU_70,0,0,0,0,0,0,0,0.069902137,0.069902137
OTU_100,0.032328457,0.034406826,0,0,0,0,0,0,0.033367642
OTU_193,0.040410571,0.027525461,0,0,0,0.091317251,0.05159515,0.00998602,0.052712108
OTU_65,0,0.006881365,0,0,0,0,0,0,0
OTU_62,0.080821143,0.006881365,0,0,0,0,0,0,0.080821143
OTU_58,0.0565748,0.020644096,0,0.009344921,0.019418733,0.007609771,0,0,0.0565748
OTU_167,0.7354724,0.825763832,0,0,3.178199236,0.441366715,0.576145842,0,1.151389605
OTU_159,0,0,0,0,0,0,0,0,
OTU_207,0,0,0,0,0,0,0,0,
OTU_53,0.024246343,0.075695018,0,0,0,0.007609771,0,4.603555023,2.339625021
OTU_112,0.088903257,0.151390036,0,0,0,0,0,0.00998602,0.120146647
